ID,C1,C2,C3,C4,C5
1,0.24882810589414953,0.24882810589414953,0.24882810589414953,0.24882810589414953,0.24882810589414953
2,0.48599677772250705,0.48599677772250705,0.48599677772250705,0.48599677772250705,0.48599677772250705
3,0.4795046416856871,0.4795046416856871,0.4795046416856871,0.4795046416856871,0.4795046416856871
4,0.3312502901463068,0.3312502901463068,0.3312502901463068,0.3312502901463068,0.3312502901463068
5,0.3745061158812899,0.3745061158812899,0.3745061158812899,0.3745061158812899,0.3745061158812899
6,-0.06570110134494755,-0.06570110134494755,-0.06570110134494755,-0.06570110134494755,-0.06570110134494755
7,0.44165616387609696,0.44165616387609696,0.44165616387609696,0.44165616387609696,0.44165616387609696
8,0.3316394226694836,0.3316394226694836,0.3316394226694836,0.3316394226694836,0.3316394226694836
9,0.46298521651116,0.46298521651116,0.46298521651116,0.46298521651116,0.46298521651116
10,0.5617952441628424,0.5617952441628424,0.5617952441628424,0.5617952441628424,0.5617952441628424
11,0.5269417651934494,0.5269417651934494,0.5269417651934494,0.5269417651934494,0.5269417651934494
12,0.6669948371865582,0.6669948371865582,0.6669948371865582,0.6669948371865582,0.6669948371865582
13,0.4506470335853464,0.4506470335853464,0.4506470335853464,0.4506470335853464,0.4506470335853464
14,0.3533711211356943,0.3533711211356943,0.3533711211356943,0.3533711211356943,0.3533711211356943
15,0.27045849728208926,0.27045849728208926,0.27045849728208926,0.27045849728208926,0.27045849728208926
16,0.26182497416016104,0.26182497416016104,0.26182497416016104,0.26182497416016104,0.26182497416016104
17,0.40773921561437254,0.40773921561437254,0.40773921561437254,0.40773921561437254,0.40773921561437254
18,0.41830148959685187,0.41830148959685187,0.41830148959685187,0.41830148959685187,0.41830148959685187
19,0.37811264466025074,0.37811264466025074,0.37811264466025074,0.37811264466025074,0.37811264466025074
20,0.35692146643232736,0.35692146643232736,0.35692146643232736,0.35692146643232736,0.35692146643232736
21,0.14232582412010752,0.14232582412010752,0.14232582412010752,0.14232582412010752,0.14232582412010752
22,0.20257582241771285,0.20257582241771285,0.20257582241771285,0.20257582241771285,0.20257582241771285
23,0.09451899079588416,0.09451899079588416,0.09451899079588416,0.09451899079588416,0.09451899079588416
24,0.09883343693892188,0.09883343693892188,0.09883343693892188,0.09883343693892188,0.09883343693892188
25,0.0467741184118054,0.0467741184118054,0.0467741184118054,0.0467741184118054,0.0467741184118054
26,-0.06406375996424873,-0.06406375996424873,-0.06406375996424873,-0.06406375996424873,-0.06406375996424873
27,-0.17605625188267982,-0.17605625188267982,-0.17605625188267982,-0.17605625188267982,-0.17605625188267982
28,-0.19644351729967968,-0.19644351729967968,-0.19644351729967968,-0.19644351729967968,-0.19644351729967968
