ID,Temp_m,Generation,Irradiance,Capacity,Lat,Lon,Angle,Irradiance_m,Temp,Module
1,47.252999999999986,630,8.37,499.8,25.11,121.26,22.0,2325,26.3,1
2,47.53099999999998,2246,17.11,499.8,25.11,121.26,22.0,4753,27.9,1
3,49.763000000000005,1147,12.26,499.8,25.11,121.26,22.0,3406,28.0,1
4,51.09800000000001,2946,21.51,499.8,25.11,121.26,22.0,5975,28.6,1
5,52.017000000000024,3139,23.18,499.8,25.11,121.26,22.0,6439,29.1,1
6,50.801000000000016,2618,18.57,499.8,25.11,121.26,22.0,5158,28.3,1
7,50.61300000000003,3093,27.04,499.8,25.11,121.26,22.0,7511,29.0,1
8,47.73700000000001,3256,28.65,499.8,25.11,121.26,22.0,7958,29.3,1
9,49.27300000000002,3280,28.63,499.8,25.11,121.26,22.0,7953,29.2,1
10,47.80000000000001,3238,28.6,499.8,25.11,121.26,22.0,7944,29.4,1
11,47.50200000000001,3017,26.08,499.8,25.11,121.26,22.0,7244,29.4,1
12,47.797000000000004,3219,27.27,499.8,25.11,121.26,22.0,7575,29.6,1
13,49.928000000000026,2551,21.69,499.8,25.11,121.26,22.0,6025,29.4,1
14,48.85800000000001,2872,25.25,499.8,25.11,121.26,22.0,7014,29.6,1
15,47.80500000000001,3070,26.71,499.8,25.11,121.26,22.0,7419,30.4,1
16,47.997,2902,26.2,499.8,25.11,121.26,22.0,7278,30.2,1
17,47.848,3054,27.54,499.8,25.11,121.26,22.0,7650,30.5,1
18,48.082,2349,20.06,499.8,25.11,121.26,22.0,5572,29.3,1
19,47.73400000000001,2985,27.61,499.8,25.11,121.26,22.0,7669,29.8,1
20,47.50200000000001,2966,26.16,499.8,25.11,121.26,22.0,7267,29.7,1
21,48.73599999999998,2960,24.71,499.8,25.11,121.26,22.0,6864,30.5,1
22,51.58400000000002,2650,23.69,499.8,25.11,121.26,22.0,6581,30.3,1
23,49.104,2703,20.73,499.8,25.11,121.26,22.0,5758,29.6,1
24,51.302000000000014,2153,16.73,499.8,25.11,121.26,22.0,4647,28.1,1
25,49.84800000000001,2268,18.42,499.8,25.11,121.26,22.0,5117,28.9,1
26,49.592000000000006,2778,24.77,499.8,25.11,121.26,22.0,6881,29.7,1
27,48.428000000000004,3063,25.34,499.8,25.11,121.26,22.0,7039,29.6,1
28,50.522000000000006,2781,24.09,499.8,25.11,121.26,22.0,6692,30.0,1
29,49.46300000000003,2744,22.49,499.8,25.11,121.26,22.0,6247,30.4,1
30,48.633,2452,20.23,499.8,25.11,121.26,22.0,5619,30.2,1
31,48.943000000000005,1844,16.1,499.8,25.11,121.26,22.0,4472,30.4,1
32,48.922,2309,16.2,499.8,25.11,121.26,22.0,4500,30.0,1
33,47.605,3052,26.32,499.8,25.11,121.26,22.0,7311,29.8,1
34,47.893,3124,28.28,499.8,25.11,121.26,22.0,7856,30.1,1
35,47.89000000000001,3059,27.13,499.8,25.11,121.26,22.0,7536,30.2,1
36,51.25400000000001,2884,23.27,499.8,25.11,121.26,22.0,6464,30.1,1
37,48.56400000000001,2402,16.95,499.8,25.11,121.26,22.0,4708,30.4,1
38,48.203,1607,14.82,499.8,25.11,121.26,22.0,4117,30.3,1
39,47.854000000000006,2971,26.91,499.8,25.11,121.26,22.0,7475,30.5,1
40,48.191,3116,28.19,499.8,25.11,121.26,22.0,7831,30.8,1
41,49.433000000000035,2705,22.21,499.8,25.11,121.26,22.0,6169,30.6,1
42,49.64000000000003,2769,22.24,499.8,25.11,121.26,22.0,6178,29.5,1
43,48.253,2667,16.62,499.8,25.11,121.26,22.0,4617,29.3,1
44,48.428000000000004,2970,25.28,499.8,25.11,121.26,22.0,7022,29.7,1
45,51.65200000000002,2783,23.16,499.8,25.11,121.26,22.0,6433,30.0,1
46,48.32100000000001,2829,26.46,499.8,25.11,121.26,22.0,7350,30.7,1
47,48.53099999999999,2264,17.91,499.8,25.11,121.26,22.0,4975,30.0,1
48,48.48300000000001,2726,20.42,499.8,25.11,121.26,22.0,5672,30.0,1
49,49.933,2301,16.89,499.8,25.11,121.26,22.0,4692,29.0,1
50,49.17500000000001,1806,12.59,499.8,25.11,121.26,22.0,3497,28.8,1
51,49.92000000000003,2891,21.8,499.8,25.11,121.26,22.0,6056,31.2,1
52,48.312000000000005,1680,14.05,499.8,25.11,121.26,22.0,3903,30.6,1
53,49.599000000000025,2921,22.42,499.8,25.11,121.26,22.0,6228,32.2,1
54,51.381,2642,23.4,499.8,25.11,121.26,22.0,6500,31.1,1
55,48.586000000000006,2402,17.62,499.8,25.11,121.26,22.0,4894,29.6,1
56,47.12599999999997,788,3.72,499.8,25.11,121.26,22.0,1033,26.2,1
57,47.596000000000004,2008,14.32,499.8,25.11,121.26,22.0,3978,28.0,1
58,48.13300000000004,2401,15.76,499.8,25.11,121.26,22.0,4378,28.3,1
59,47.81800000000001,2959,26.59,499.8,25.11,121.26,22.0,7386,30.0,1
60,47.60500000000001,2861,18.53,499.8,25.11,121.26,22.0,5147,29.5,1
61,47.953,2659,20.04,499.8,25.11,121.26,22.0,5567,29.2,1
62,49.264,1898,18.82,499.8,25.11,121.26,22.0,5228,29.0,1
63,46.74800000000004,2154,15.64,499.8,25.11,121.26,22.0,4344,28.9,1
64,49.96299999999999,1140,6.94,499.8,25.11,121.26,22.0,1928,27.3,1
65,51.15300000000002,2763,22.13,499.8,25.11,121.26,22.0,6147,28.8,1
66,49.70200000000002,2706,21.78,499.8,25.11,121.26,22.0,6050,29.2,1
67,51.14800000000002,2715,16.81,499.8,25.11,121.26,22.0,4669,28.6,1
68,45.097,2136,15.07,499.8,25.11,121.26,22.0,4186,27.8,1
69,46.39300000000001,2356,15.16,499.8,25.11,121.26,22.0,4211,28.0,1
70,50.63500000000003,2367,21.94,499.8,25.11,121.26,22.0,6094,30.0,1
71,49.023,2031,16.45,499.8,25.11,121.26,22.0,4569,30.4,1
72,51.17799999999999,2888,23.92,499.8,25.11,121.26,22.0,6644,31.2,1
